Slice,Distance,BandArea,BandMedian
155,6.0,49,214.0
156,2.0,112,129.0
156,4.0,106,148.5
156,6.0,72,177.0
156,8.0,45,213.0
157,2.0,123,133.0
157,4.0,106,158.5
157,6.0,75,178.0
157,8.0,46,205.5
158,2.0,131,130.0
158,4.0,110,160.5
158,6.0,80,174.0
158,8.0,45,201.0
159,2.0,122,131.0
159,4.0,108,163.5
159,6.0,79,177.0
160,2.0,117,141.0
160,4.0,104,170.5
160,6.0,75,188.0
161,2.0,118,134.5
161,4.0,103,167.0
161,6.0,70,179.5
162,2.0,117,139.0
162,4.0,102,173.5
162,6.0,53,194.0
163,2.0,125,140.0
163,4.0,100,179.0
163,6.0,48,199.5
164,2.0,122,148.5
164,4.0,103,196.0
164,6.0,54,205.0
165,2.0,110,143.5
165,4.0,95,187.0
165,6.0,61,191.0
166,2.0,107,139.0
166,4.0,95,175.0
166,6.0,62,195.5
167,2.0,109,129.0
167,4.0,94,169.5
167,6.0,61,198.0
168,2.0,103,139.0
168,4.0,91,175.0
168,6.0,56,191.0
169,2.0,107,160.0
169,4.0,94,197.5
169,6.0,58,209.0
170,2.0,109,163.0
170,4.0,94,200.0
171,2.0,107,147.0
171,4.0,89,181.0
172,2.0,97,124.0
172,4.0,78,159.5
172,6.0,46,203.5
173,2.0,97,120.0
173,4.0,80,164.0
173,6.0,46,213.0
174,2.0,91,108.0
174,4.0,74,153.5
174,6.0,44,198.0
175,2.0,96,102.5
175,4.0,76,143.5
175,6.0,47,193.0
176,2.0,96,113.0
176,4.0,79,153.0
176,6.0,44,205.0
177,2.0,98,130.5
177,4.0,79,171.0
177,6.0,41,211.0
178,2.0,99,145.0
178,4.0,79,182.0
179,2.0,96,154.0
179,4.0,72,182.5
180,2.0,83,146.0
180,4.0,62,179.5
181,2.0,74,130.0
181,4.0,59,159.0
182,2.0,85,129.0
182,4.0,60,165.5
183,2.0,89,130.0
183,4.0,71,143.0
184,2.0,92,152.0
184,4.0,62,178.0
185,2.0,76,172.0
185,4.0,58,210.0
186,2.0,76,159.5
186,4.0,58,206.0
187,2.0,81,144.0
187,4.0,58,187.0
188,2.0,75,138.0
188,4.0,57,180.0
189,2.0,81,146.0
189,4.0,58,190.5
190,2.0,74,160.0
190,4.0,58,203.5
191,2.0,117,176.0
192,2.0,119,155.0
192,4.0,69,203.0
193,2.0,123,144.0
193,4.0,65,194.0
194,2.0,121,136.0
194,4.0,68,187.5
195,2.0,116,134.5
195,4.0,73,174.0
196,2.0,107,136.0
196,4.0,71,170.0
197,2.0,84,137.0
197,4.0,63,177.0
198,2.0,80,132.5
198,4.0,55,171.0
199,2.0,81,135.0
199,4.0,55,188.0
200,2.0,77,131.0
200,4.0,51,183.0
201,2.0,85,131.0
201,4.0,61,160.0
202,2.0,102,134.0
202,4.0,81,169.0
203,2.0,108,127.0
203,4.0,87,163.0
203,6.0,55,185.0
204,2.0,110,124.5
204,4.0,90,156.0
204,6.0,63,180.0
205,2.0,107,112.0
205,4.0,95,143.0
205,6.0,66,169.5
206,2.0,102,115.5
206,4.0,91,148.0
206,6.0,62,187.5
207,2.0,100,111.0
207,4.0,94,148.0
207,6.0,65,188.0
207,8.0,37,218.0
208,2.0,103,103.0
208,4.0,92,139.0
208,6.0,67,177.0
208,8.0,40,215.5
209,2.0,109,105.0
209,4.0,94,145.0
209,6.0,66,185.0
209,8.0,39,221.0
210,2.0,114,110.5
210,4.0,94,143.5
210,6.0,69,181.0
210,8.0,42,211.0
211,2.0,111,109.0
211,4.0,99,140.0
211,6.0,68,177.5
212,2.0,112,97.5
212,4.0,95,129.0
212,6.0,64,162.5
213,2.0,111,99.0
213,4.0,95,127.0
213,6.0,70,157.5
214,2.0,111,105.0
214,4.0,97,133.0
214,6.0,71,166.0
215,2.0,104,103.0
215,4.0,90,128.0
